"Bryophyta sp.";"Cordyline mauritiana";"Dicranopteris linearis";"Erica reunionensis";"Habenaria frappieri";"Lycopodium clavatum";"Phylica nitida";"Poaceae sp.";"Stoebe passerinoides"
"OTU19";3;1;6;12;0;2;9;6;11
"OTU43";0;0;0;7;0;0;6;0;8
"OTU53";1;1;9;12;0;2;14;5;10
"OTU65";0;0;0;0;0;1;0;0;1
"OTU74";0;0;0;0;0;0;0;0;1
"OTU93";0;0;3;1;0;1;5;1;2
"OTU96";0;0;2;1;0;1;4;4;3
"OTU251";0;0;1;5;1;0;4;2;2
"OTU222";0;0;0;1;0;0;2;0;0
"OTU294";0;0;0;7;0;0;10;2;6
"OTU281";0;0;1;4;0;0;4;0;3
"OTU382";0;0;0;4;1;0;3;0;2
"OTU403";0;0;0;2;0;0;6;0;3
"OTU524";0;0;1;0;0;0;0;0;0
"OTU685";0;0;0;1;0;0;1;0;1
"OTU741";0;0;0;1;0;0;3;0;0
"OTU892";0;0;0;0;0;0;2;0;0
"OTU1075";0;0;0;2;0;0;3;1;1
"OTU1150";0;0;0;0;0;0;2;0;0
"OTU1306";0;0;0;3;0;0;1;0;0
"OTU1483";0;0;0;0;0;0;1;0;1
"OTU1735";0;0;1;1;0;0;3;0;1
"OTU1843";0;0;0;0;0;0;1;0;0
"OTU2071";0;0;0;0;0;0;1;0;0
"OTU1678";0;0;1;1;0;0;2;0;0
"OTU2656";0;0;0;0;0;0;1;2;0
"OTU2743";0;0;1;0;0;0;1;0;0
