"Bryophyta sp.";"Cordyline mauritiana";"Dicranopteris linearis";"Erica reunionensis";"Habenaria frappieri";"Lycopodium clavatum";"Phylica nitida";"Poaceae sp.";"Stoebe passerinoides"
"OTU3";4;1;6;4;2;7;11;6;9
"OTU309";4;0;0;0;3;2;0;3;1
"OTU324";2;0;0;0;0;1;0;0;0
"OTU540";2;0;4;4;2;8;2;1;2
"OTU776";1;0;0;0;1;1;2;1;0
"OTU814";1;0;0;0;0;0;0;0;0
"OTU1262";0;0;4;0;2;4;0;0;0
"OTU1292";2;0;0;0;1;0;0;0;0
"OTU1445";0;0;0;0;0;1;0;0;1
"OTU1503";0;0;1;0;0;0;0;0;0
"OTU1513";0;0;0;0;0;0;1;0;0
"OTU1714";1;0;0;0;0;1;0;1;0
"OTU1791";1;0;0;0;0;0;0;0;0
"OTU1906";2;0;0;0;0;0;0;0;0
"OTU1949";0;0;0;1;0;0;0;0;0
"OTU2110";0;0;1;1;0;3;0;0;0
"OTU2160";0;0;1;0;0;0;0;0;0
"OTU2234";0;0;0;0;1;0;0;0;0
"OTU2250";0;0;0;0;1;0;0;1;0
"OTU2361";1;0;0;0;1;0;0;0;0
"OTU2660";0;0;0;0;0;0;0;1;0
"OTU3049";0;0;0;0;0;0;0;1;0
"OTU3411";1;0;0;0;0;0;0;0;0
"OTU3563";0;0;0;0;0;1;0;0;0
"OTU3689";0;0;0;0;0;1;0;0;0
"OTU5529";0;0;0;0;0;1;0;0;0
"OTU10336";0;0;0;0;0;1;0;0;0
