"Arundina graminifolia";"Clidemia hirta";"Cynodon dactylon";"Desmodium incanum";"Dicranopteris linearis";"Fabaceae sp.";"Hyparrhenia sp.";"Lycopodiella cernua";"Nephrolepis abrupta";"Nephrolepis biserrata";"Psidium cattleianum";"Stachytarpheta jamaicensis";"Stenotaphrum dimidiatum";"Tristemma mauritianum"
"OTU19";1;1;6;5;5;4;1;2;2;0;0;0;0;0
"OTU32";0;1;5;4;4;2;2;0;2;1;0;1;0;2
"OTU43";2;6;5;8;5;6;2;4;4;3;3;2;3;0
"OTU65";0;5;3;7;1;3;2;3;3;3;3;3;2;2
"OTU74";2;6;4;8;6;6;2;4;4;3;3;2;3;0
"OTU93";0;1;0;1;0;0;0;0;0;0;2;1;0;0
"OTU150";0;1;1;4;0;1;0;0;0;0;3;2;0;0
"OTU169";0;3;3;3;0;1;0;0;0;2;1;2;2;0
"OTU194";0;1;1;1;1;0;0;0;1;1;0;0;0;0
"OTU265";0;0;1;0;1;0;0;0;0;0;0;0;0;0
"OTU308";0;0;2;4;0;1;0;0;0;0;0;1;0;0
"OTU329";0;1;0;2;1;1;0;1;0;1;0;0;1;0
"OTU394";0;1;0;2;0;0;0;0;1;1;1;2;0;0
"OTU447";0;1;0;2;0;0;0;0;0;0;2;2;0;0
"OTU199";0;0;0;1;2;0;0;0;0;0;0;0;0;0
"OTU524";0;0;0;0;0;0;0;0;0;0;1;0;0;2
"OTU732";0;0;1;3;0;0;0;0;0;0;0;0;0;0
"OTU834";0;1;0;2;0;0;0;0;0;0;0;1;0;0
"OTU768";0;0;0;2;0;0;0;0;0;0;0;0;2;0
"OTU912";0;0;1;1;0;0;0;0;0;0;0;0;0;0
"OTU906";0;0;0;0;0;0;0;0;0;0;0;1;0;0
"OTU997";0;0;0;0;0;0;0;0;0;1;0;1;0;0
"OTU1000";0;0;0;0;0;0;0;0;0;0;2;1;1;0
"OTU1023";1;1;1;1;0;0;0;0;0;0;0;0;0;0
"OTU1053";0;0;0;0;0;0;0;0;0;0;2;0;0;0
"OTU1073";0;0;1;2;0;0;0;0;0;0;0;0;0;0
"OTU1201";0;1;1;1;0;0;0;0;0;0;0;0;0;0
"OTU1392";0;0;1;1;0;0;0;0;0;0;0;0;0;0
"OTU1428";0;0;1;1;0;0;0;0;0;0;0;0;0;0
"OTU1609";0;0;0;1;0;0;0;0;0;0;0;0;0;0
"OTU1636";0;0;0;0;0;0;0;0;0;0;1;1;0;0
"OTU1763";0;0;0;1;0;0;0;0;0;0;0;0;0;0
"OTU2013";0;0;0;1;0;0;0;0;0;0;0;0;0;0
"OTU2024";0;0;1;0;0;0;0;0;0;0;0;0;0;0
"OTU2088";0;0;0;0;0;0;0;0;0;0;1;0;0;0
"OTU2110";0;0;1;0;0;0;0;0;0;0;0;0;1;0
"OTU2135";0;1;0;1;0;0;0;0;0;0;0;0;0;0
"OTU2279";0;0;0;0;0;0;0;0;0;0;0;1;0;0
"OTU2629";0;0;0;1;0;0;0;0;0;0;0;0;0;0
"OTU10042";0;1;0;0;0;0;0;0;0;0;0;0;0;0
"OTU10051";0;0;0;0;2;0;0;0;0;0;0;0;0;0
