"Bryophyta sp.";"Convolvulaceae sp.";"Dicranopteris linearis";"Erica reunionensis";"Eriocaulon striatum";"Hubertia ambavilla";"Lycopodiella caroliniana";"Lycopodiella cernua";"Machaerina iridifolia";"Phyllanthus phillyreifolius";"Poaceae sp.";"Stoebe passerinoides";"Tristemma mauritianum";"Tylostigma sp."
"OTU3";2;2;0;4;1;1;1;3;3;1;0;2;1;3
"OTU236";6;1;1;0;0;0;1;3;2;0;3;1;0;1
"OTU309";2;0;0;0;0;1;0;1;0;0;0;0;0;0
"OTU324";1;0;0;1;0;0;1;2;0;0;0;0;1;0
"OTU367";4;0;2;4;0;0;2;6;2;0;2;1;0;1
"OTU397";1;0;0;2;0;0;1;2;1;0;1;0;1;0
"OTU814";2;0;0;2;0;0;0;2;0;0;0;0;0;0
"OTU1355";6;0;0;0;0;0;2;0;1;0;0;0;0;0
"OTU1537";0;0;0;0;0;0;0;1;2;0;0;0;0;0
"OTU1714";0;0;0;0;0;0;0;1;0;0;0;0;0;0
"OTU1791";0;0;0;0;0;0;0;1;0;0;0;0;0;0
"OTU2259";2;0;0;0;0;0;0;0;0;0;0;0;0;0
"OTU3439";0;0;0;0;0;0;0;0;1;0;0;0;0;0
"OTU7830";0;0;0;0;0;0;0;0;1;0;0;0;0;0
"OTU8600";1;0;0;0;0;0;0;0;0;0;0;0;0;0
"OTU9117";0;0;0;0;0;0;0;0;0;0;0;1;0;0
"OTU9866";0;0;0;0;0;0;0;0;1;0;0;0;0;0
